Hora_decimal,Vmedia_PCC_0700_pu,Vmedia_PCC_2220_pu,Vmedia_PCC_2380_pu,Vmedia_PCC_1250_pu,Vmedia_PCC_1630_pu,Vmedia_PCC_1950_pu,Vmedia_PAC_0016_pu,Vmedia_0622_Residuos_pu,Vmedia_1242_Solos_pu,Vmedia_1832_Remates_pu,Vmedia_3062_Biotecnologia_pu,Vmedia_3592_Ibama_pu,Vmedia_3722_Tambo_pu,Vmedia_3792_Laticinios_pu,Vmedia_4792_Antena_pu,Vmedia_5092_Suinocultura_pu,Vmedia_5152_Pomar_pu
7896.500000,0.973929,0.977090,0.976443,0.972011,0.971354,0.970849,0.977849,0.971126,0.967623,0.967447,0.971715,0.972061,0.970833,0.970977,0.974147,0.971061,0.971900
7896.750000,0.973912,0.977067,0.976419,0.972001,0.971343,0.970837,0.977826,0.971098,0.967548,0.967429,0.971665,0.972065,0.970761,0.970914,0.974118,0.971000,0.971852
7897.000000,0.974238,0.977359,0.976716,0.972348,0.971695,0.971194,0.978113,0.971426,0.967718,0.967795,0.971938,0.972406,0.971023,0.971179,0.974423,0.971264,0.972059
7897.250000,0.989475,0.990267,0.989843,0.988870,0.988747,0.988676,0.990664,0.986041,0.984264,0.985032,0.985071,0.985491,0.984182,0.984332,0.987541,0.984417,0.985236
7897.500000,0.989442,0.990236,0.989814,0.988836,0.988708,0.988634,0.990633,0.985927,0.984173,0.984914,0.984947,0.985491,0.983995,0.984165,0.987541,0.984245,0.985164
7897.750000,0.989824,0.990564,0.990147,0.989247,0.989123,0.989050,0.990958,0.986382,0.984673,0.985409,0.985344,0.985724,0.984423,0.984576,0.987879,0.984662,0.985545
7898.000000,0.989879,0.990588,0.990169,0.989314,0.989192,0.989121,0.990985,0.986447,0.984645,0.985495,0.985389,0.985795,0.984488,0.984638,0.988386,0.984723,0.985532
7898.250000,0.989984,0.990695,0.990280,0.989426,0.989302,0.989229,0.991086,0.986523,0.984786,0.985577,0.985458,0.985902,0.984532,0.984689,0.988496,0.984771,0.985645
7898.500000,0.989913,0.990633,0.990219,0.989350,0.989225,0.989153,0.991025,0.986441,0.984705,0.985491,0.985427,0.985830,0.984518,0.984673,0.988438,0.984758,0.985591
7898.750000,0.989903,0.990618,0.990203,0.989339,0.989213,0.989140,0.991011,0.986445,0.984714,0.985486,0.985429,0.985924,0.984536,0.984685,0.988428,0.984764,0.985589
7899.000000,0.989909,0.990600,0.990177,0.989355,0.989228,0.989157,0.990997,0.986461,0.984764,0.985518,0.985426,0.985844,0.984550,0.984694,0.987735,0.984780,0.985580
7899.250000,0.989867,0.990542,0.990111,0.989324,0.989196,0.989125,0.990944,0.986426,0.984677,0.985495,0.985344,0.985721,0.984461,0.984608,0.987664,0.984689,0.985482
7899.500000,0.990103,0.990754,0.990331,0.989567,0.989441,0.989370,0.991148,0.986626,0.984883,0.985711,0.985558,0.985986,0.984667,0.984815,0.987882,0.984903,0.985691
7899.750000,0.990139,0.990784,0.990364,0.989603,0.989478,0.989405,0.991177,0.986621,0.985042,0.985705,0.985585,0.986091,0.984691,0.984845,0.987924,0.984926,0.985785
7900.000000,0.989946,0.990590,0.990160,0.989411,0.989291,0.989223,0.990991,0.986498,0.984788,0.985591,0.985444,0.985862,0.984595,0.984732,0.987703,0.984824,0.985559
7900.250000,0.989904,0.990552,0.990120,0.989377,0.989257,0.989188,0.990957,0.986491,0.984800,0.985591,0.985358,0.985736,0.984477,0.984624,0.987661,0.984714,0.985530
7900.500000,0.989860,0.990499,0.990060,0.989334,0.989215,0.989147,0.990908,0.986439,0.984864,0.985541,0.985352,0.985717,0.984509,0.984645,0.987572,0.984736,0.985529
7900.750000,0.989994,0.990615,0.990180,0.989474,0.989355,0.989287,0.991020,0.986577,0.984936,0.985686,0.985485,0.985909,0.984655,0.984791,0.987690,0.984877,0.985632
7901.000000,0.989938,0.990590,0.990162,0.989408,0.989286,0.989216,0.990992,0.986486,0.984826,0.985577,0.985430,0.985879,0.984570,0.984711,0.988168,0.984794,0.985577
7901.250000,0.990314,0.990961,0.990551,0.989791,0.989669,0.989601,0.991345,0.986877,0.985236,0.985976,0.985903,0.986339,0.985086,0.985218,0.988570,0.985306,0.986024
7901.500000,0.990551,0.991220,0.990833,0.990027,0.989907,0.989842,0.991583,0.987121,0.985495,0.986223,0.986244,0.986832,0.985473,0.985595,0.988911,0.985683,0.986341
7901.750000,0.990638,0.991301,0.990916,0.990117,0.989999,0.989932,0.991661,0.987186,0.985605,0.986291,0.986323,0.986932,0.985541,0.985668,0.988992,0.985752,0.986435
7902.000000,0.990633,0.991361,0.990991,0.990089,0.989971,0.989903,0.991707,0.987130,0.985605,0.986205,0.986439,0.987091,0.985780,0.985903,0.988591,0.985892,0.986568
7902.250000,0.990520,0.991236,0.990852,0.989968,0.989847,0.989779,0.991594,0.987097,0.985491,0.986155,0.986285,0.986900,0.985614,0.985735,0.988444,0.985723,0.986414
7902.500000,0.990318,0.991063,0.990670,0.989750,0.989626,0.989556,0.991427,0.986876,0.985182,0.985909,0.986045,0.986736,0.985348,0.985474,0.988247,0.985455,0.986168
7902.750000,0.989875,0.990701,0.990303,0.989282,0.989157,0.989088,0.991071,0.986426,0.984715,0.985418,0.985718,0.986359,0.985047,0.985164,0.987877,0.985150,0.985805
7903.000000,0.989273,0.990086,0.989649,0.988660,0.988517,0.988444,0.990495,0.985691,0.984152,0.984641,0.985094,0.985644,0.984459,0.984562,0.987213,0.984550,0.985132
7903.250000,0.987969,0.988845,0.988349,0.987297,0.987136,0.987056,0.989309,0.984200,0.982682,0.983059,0.983662,0.984227,0.982970,0.983079,0.985874,0.983052,0.983700
7903.500000,0.987144,0.987947,0.987384,0.986486,0.986317,0.986234,0.988481,0.983364,0.981700,0.982229,0.982621,0.983111,0.981897,0.982015,0.984877,0.981989,0.982602
7903.750000,0.986022,0.986860,0.986238,0.985333,0.985156,0.985071,0.987446,0.982227,0.980009,0.981042,0.981303,0.981827,0.980511,0.980652,0.983661,0.980611,0.981106
7904.000000,0.984418,0.985252,0.984587,0.983719,0.983535,0.983450,0.985930,0.980677,0.978373,0.979461,0.979580,0.980082,0.978774,0.978920,0.982462,0.978883,0.979388
7904.250000,0.982683,0.983556,0.982795,0.981914,0.981703,0.981606,0.984324,0.978702,0.976561,0.977365,0.977529,0.978086,0.976588,0.976765,0.980609,0.976718,0.977456
7904.500000,0.981493,0.982369,0.981505,0.980680,0.980448,0.980344,0.983213,0.977605,0.975379,0.976170,0.975950,0.976621,0.974862,0.975076,0.979231,0.975027,0.976035
7904.750000,0.980699,0.981483,0.980545,0.979865,0.979614,0.979504,0.982393,0.976630,0.974435,0.975164,0.974918,0.975523,0.973780,0.973991,0.978215,0.973962,0.974930
7905.000000,0.979532,0.980438,0.979463,0.978618,0.978342,0.978222,0.981384,0.975238,0.973026,0.973627,0.973717,0.974420,0.972509,0.972732,0.976806,0.972708,0.973703
7905.250000,0.978859,0.979800,0.978794,0.977904,0.977616,0.977493,0.980775,0.974526,0.972229,0.972848,0.973035,0.973598,0.971827,0.972041,0.976118,0.972018,0.972950
7905.500000,0.978662,0.979627,0.978607,0.977697,0.977413,0.977288,0.980610,0.974447,0.971674,0.972758,0.972712,0.973411,0.971430,0.971667,0.975945,0.971629,0.972555
